a	b
O00193	O00264
O00193	O00571
O00193	O00764
O00193	O15067
O00193	O15173
O00193	O15371
O00193	O15455
O00193	O43399
O00193	O43765
O00193	O43776
O00193	O60925
O00193	O75347
O00193	O75608
O00193	O95786
O00193	O95816
O00193	O95861
O00193	P02786
O00193	P04350
O00193	P04843
O00193	P06753
O00193	P07741
O00193	P08571
O00193	P09661
O00193	P09936
O00193	P0CG47
O00193	P0DPH7
O00193	P13797
O00193	P14314
O00193	P14618
O00193	P15170
O00193	P15311
O00193	P15924
O00193	P17676
O00193	P17858
O00193	P19105
O00193	P19623
O00193	P20290
O00193	P22061
O00193	P23284
O00193	P24539
O00193	P24666
O00193	P25786
O00193	P26038
O00193	P26639
O00193	P29401
O00193	P30044
O00193	P30046
O00193	P30084
O00193	P31040
O00193	P31939
O00193	P35580
O00193	P39023
O00193	P41227
O00193	P41250
O00193	P43307
O00193	P48643
O00193	P48739
O00193	P51572
O00193	P52209
O00193	P52298
O00193	P52434
O00193	P52732
O00193	P52815
O00193	P54136
O00193	P55210
O00193	P55327
O00193	P58546
O00193	P61086
O00193	P61088
O00193	P61201
O00193	P61247
O00193	P62249
O00193	P62263
O00193	P62333
O00193	P62495
O00193	P62750
O00193	P62879
O00193	P62987
O00193	P63279
O00193	Q00610
O00193	Q02543
O00193	Q04760
O00193	Q08257
O00193	Q12904
O00193	Q13200
O00193	Q13310
O00193	Q13404
O00193	Q13451
O00193	Q13568-4
O00193	Q14164
O00193	Q14165
O00193	Q14258
O00193	Q14653
O00193	Q14657
O00193	Q15008
O00193	Q15046
O00193	Q15056
O00193	Q15365
O00193	Q16576
O00193	Q16630
O00193	Q16650
O00193	Q3MHD2
O00193	Q4VC31
O00193	Q6NZ67
O00193	Q6XUX3
O00193	Q7L2H7
O00193	Q7Z434
O00193	Q86VP1
O00193	Q86WV6
O00193	Q8IUC6
O00193	Q8IUD6
O00193	Q8N5K1
O00193	Q8NC51
O00193	Q8WU90
O00193	Q92844-3
O00193	Q92922
O00193	Q92985
O00193	Q96AG4
O00193	Q96FW1
O00193	Q99460
O00193	Q99623
O00193	Q9BVK6
O00193	Q9BYX4
O00193	Q9H2G2
O00193	Q9H6S1
O00193	Q9H9B4
O00193	Q9HAV4
O00193	Q9NQC7
O00193	Q9NR30
O00193	Q9NUQ9
O00193	Q9NYU2
O00193	Q9P0I2
O00193	Q9UBB6
O00193	Q9UBT2
O00193	Q9UKK9
O00193	Q9Y2B0
O00193	Q9Y3A5
O00193	Q9Y3U8
O00193	Q9Y4K3
O00193	Q9Y6Y9
O00193	O60232
O00193	O75409
O00193	P00918
O00193	P04083
O00193	P05161
O00193	P10275
O00193	P13929
O00193	P15559
O00193	P25685-2
O00193	P30101
O00193	P31946
O00193	P32455
O00193	P59665
O00193	P61964
O00193	Q00796
O00193	Q04446
O00193	Q08257-3
O00193	Q13867
O00193	Q5SW24
O00193	Q6GMV2
O00193	Q6TCH7
O00193	Q6TDP4
O00193	Q86VU5
O00193	Q86YV6
O00193	Q8N6M8
O00193	Q8NA92
O00193	Q8NBF2
O00193	Q8NFH5-2
O00193	Q8WUX2
O00193	Q8WVK2
O00193	Q92769
O00193	Q96B18
O00193	Q96BM9
O00193	Q96NR8
O00193	Q96SA4
O00193	Q99497
O00193	Q9BWD1
O00193	Q9NPF4
O00193	Q9NPL8
O00193	Q9NQR4
O00193	Q9NR45
O00193	Q9Y248
O00193	Q9Y2I2-1
O00193	Q3LXA3
O00193	O43657
O00193	O75179
O00193	O75569
O00193	P62937
O00193	Q13233
O00193	Q5XPI4
O00193	Q86UT6
O00193	Q9H2K2
O00193	Q9BYX4-2
O00264	O00571
O00264	O00764
O00264	O15067
O00264	O15173
O00264	O15371
O00264	O15455
O00264	O43399
O00264	O43765
O00264	O43776
O00264	O60925
O00264	O75347
O00264	O75608
O00264	O95786
O00264	O95816
O00264	O95861
O00264	P02786
O00264	P04350
O00264	P04843
O00264	P06753
O00264	P07741
O00264	P08571
O00264	P09661
O00264	P09936
O00264	P0CG47
O00264	P0DPH7
O00264	P13797
O00264	P14314
O00264	P14618
O00264	P15170
O00264	P15311
O00264	P15924
O00264	P17676
O00264	P17858
O00264	P19105
O00264	P19623
O00264	P20290
O00264	P22061
O00264	P23284
O00264	P24539
O00264	P24666
O00264	P25786
O00264	P26038
O00264	P26639
O00264	P29401
O00264	P30044
O00264	P30046
O00264	P30084
O00264	P31040
O00264	P31939
O00264	P35580
O00264	P39023
O00264	P41227
O00264	P41250
O00264	P43307
O00264	P48643
O00264	P48739
O00264	P51572
O00264	P52209
O00264	P52298
O00264	P52434
O00264	P52732
O00264	P52815
O00264	P54136
O00264	P55210
O00264	P55327
O00264	P58546
O00264	P61086
