a	b
A1L4K1	A8MQ03
A1L4K1	O00258
A1L4K1	O00258-2
A1L4K1	O00330
A1L4K1	O00501
A1L4K1	O15060
A1L4K1	O15304-2
A1L4K1	O15393
A1L4K1	O15393-2
A1L4K1	O15496
A1L4K1	O43597
A1L4K1	O43610
A1L4K1	O43837
A1L4K1	O43889
A1L4K1	O60711
A1L4K1	O60883
A1L4K1	O75525
A1L4K1	O76014
A1L4K1	O76081
A1L4K1	O94972
A1L4K1	O95273
A1L4K1	O95377
A1L4K1	O95751
A1L4K1	P00915
A1L4K1	P00918
A1L4K1	P01100
A1L4K1	P08151
A1L4K1	P08151-3
A1L4K1	P0DPK4
A1L4K1	P10515
A1L4K1	P11055
A1L4K1	P11912
A1L4K1	P12004
A1L4K1	P13349
A1L4K1	P15941
A1L4K1	P15941-11
A1L4K1	P17020
A1L4K1	P24592
A1L4K1	P29323-2
A1L4K1	P34910
A1L4K1	P34910-2
A1L4K1	P36406
A1L4K1	P48735
A1L4K1	P49747
A1L4K1	P50213
A1L4K1	P51553
A1L4K1	P60329
A1L4K1	P60369
A1L4K1	P60409
A1L4K1	P60410
A1L4K1	Q01850
A1L4K1	Q02218
A1L4K1	Q04864-2
A1L4K1	Q07627
A1L4K1	Q07912
A1L4K1	Q08379
A1L4K1	Q13064
A1L4K1	Q13077
A1L4K1	Q13137
A1L4K1	Q13520
A1L4K1	Q14525
A1L4K1	Q15323
A1L4K1	Q15654
A1L4K1	Q15834
A1L4K1	Q16348
A1L4K1	Q2TAC2
A1L4K1	Q3B820
A1L4K1	Q3KQV3
A1L4K1	Q3LI66
A1L4K1	Q4VCS5
A1L4K1	Q4VCS5-2
A1L4K1	Q5JR59
A1L4K1	Q5JR59-3
A1L4K1	Q5JX71
A1L4K1	Q5T700
A1L4K1	Q5W111-2
A1L4K1	Q63HR2
A1L4K1	Q6A162
A1L4K1	Q6IN84
A1L4K1	Q6PI77
A1L4K1	Q6UY14
A1L4K1	Q7L273
A1L4K1	Q7Z3S9
A1L4K1	Q7Z698
A1L4K1	Q7Z7G2
A1L4K1	Q86Y26
A1L4K1	Q8IUQ4
A1L4K1	Q8IWZ5
A1L4K1	Q8IY31-3
A1L4K1	Q8N5Z5
A1L4K1	Q8N5Z5-2
A1L4K1	Q8N8K9
A1L4K1	Q8TBE3
A1L4K1	Q8TED1
A1L4K1	Q8WV44
A1L4K1	Q8WWF3
A1L4K1	Q92754
A1L4K1	Q96AG4
A1L4K1	Q96B21
A1L4K1	Q96HE8
A1L4K1	Q96HE8-2
A1L4K1	Q96JN2-2
A1L4K1	Q96LC9
A1L4K1	Q96LC9-3
A1L4K1	Q96Q45
A1L4K1	Q96Q45-2
A1L4K1	Q9BQ66
A1L4K1	Q9BUH8
A1L4K1	Q9BXK5
A1L4K1	Q9BXK5-4
A1L4K1	Q9BYQ0
A1L4K1	Q9BYQ4
A1L4K1	Q9BYR3
A1L4K1	Q9BYR5
A1L4K1	Q9BYR7
A1L4K1	Q9BYS1
A1L4K1	Q9BYV2
A1L4K1	Q9C029
A1L4K1	Q9C029-3
A1L4K1	Q9C0F1
A1L4K1	Q9GZV8
A1L4K1	Q9H2G9
A1L4K1	Q9H400
A1L4K1	Q9H9V4
A1L4K1	Q9HBE5
A1L4K1	Q9NP94
A1L4K1	Q9NQ30
A1L4K1	Q9NQ79
A1L4K1	Q9NQX0
A1L4K1	Q9NRY7
A1L4K1	Q9NVV0
A1L4K1	Q9NXJ5-2
A1L4K1	Q9NYW8
A1L4K1	Q9NZV7
A1L4K1	Q9UFD9
A1L4K1	Q9UGC6
A1L4K1	Q9UKS7
A1L4K1	Q9UKT9
A1L4K1	Q9Y487
A1L4K1	O00268
A1L4K1	O00459
A1L4K1	O15160
A1L4K1	O15160-2
A1L4K1	O15197-2
A1L4K1	O15287
A1L4K1	O43684
A1L4K1	O43741
A1L4K1	O75475-3
A1L4K1	O75558
A1L4K1	O75604
A1L4K1	O75716
A1L4K1	O75771
A1L4K1	O75791
A1L4K1	O75865-2
A1L4K1	O94929
A1L4K1	O94929-2
A1L4K1	O95363
A1L4K1	O95983
A1L4K1	O96019
A1L4K1	P00338
A1L4K1	P01112
A1L4K1	P01112-2
A1L4K1	P02768
A1L4K1	P04406
A1L4K1	P05141
A1L4K1	P05204
A1L4K1	P07339
A1L4K1	P07947
A1L4K1	P08727
A1L4K1	P0CG48
A1L4K1	P11021
A1L4K1	P11387
A1L4K1	P14678
A1L4K1	P15880
A1L4K1	P16401
A1L4K1	P16402
A1L4K1	P16403
A1L4K1	P17096
A1L4K1	P17844
A1L4K1	P19338
A1L4K1	P22087
A1L4K1	P22626-2
A1L4K1	P23769
A1L4K1	P24385
A1L4K1	P25786
A1L4K1	P25791
A1L4K1	P25791-3
A1L4K1	P25800
A1L4K1	P26641
A1L4K1	P27986-2
A1L4K1	P29474
A1L4K1	P29692-3
A1L4K1	P30050
A1L4K1	P33993-2
A1L4K1	P38159
A1L4K1	P46531
A1L4K1	P49756
A1L4K1	P51451
A1L4K1	P51800-3
A1L4K1	P51811
A1L4K1	P52292
A1L4K1	P54646
A1L4K1	P56545-3
A1L4K1	P61024
A1L4K1	P61421
A1L4K1	P61758
A1L4K1	P61758-2
A1L4K1	P61968
A1L4K1	P61978-3
A1L4K1	P62081
A1L4K1	P62136
A1L4K1	P62304
A1L4K1	P62316
A1L4K1	P62750
A1L4K1	P62851
A1L4K1	P62937
A1L4K1	P63279
A1L4K1	P68104
A1L4K1	P68371
A1L4K1	P78386
A1L4K1	P81605
A1L4K1	P83881
A1L4K1	Q00839-2
A1L4K1	Q01196-10
A1L4K1	Q07666
A1L4K1	Q08117
A1L4K1	Q08117-2
A1L4K1	Q08211
A1L4K1	Q08426
A1L4K1	Q09028
A1L4K1	Q10570
A1L4K1	Q12824
A1L4K1	Q12906-7
A1L4K1	Q13084
A1L4K1	Q13131
A1L4K1	Q13422
A1L4K1	Q13526
A1L4K1	Q13547
A1L4K1	Q13619-2
A1L4K1	Q13643
A1L4K1	Q13882
A1L4K1	Q13895
A1L4K1	Q14129
A1L4K1	Q15006
A1L4K1	Q15052
A1L4K1	Q15052-2
A1L4K1	Q15542
A1L4K1	Q16512
A1L4K1	Q16576
A1L4K1	Q16594
A1L4K1	Q17RB8
A1L4K1	Q17RB8-2
A1L4K1	Q2TAC2-2
A1L4K1	Q2WGJ6
A1L4K1	Q3SY00
A1L4K1	Q53TS8
A1L4K1	Q5H9K5
A1L4K1	Q5JVF3
A1L4K1	Q5T6C5
A1L4K1	Q5T7W7
A1L4K1	Q63ZY3
A1L4K1	Q68D86
A1L4K1	Q6PF18
A1L4K1	Q76G19
A1L4K1	Q7Z6R9
A1L4K1	Q86UW9
A1L4K1	Q8IUR7-2
A1L4K1	Q8IVT2
A1L4K1	Q8IVV7
A1L4K1	Q8IYI6
A1L4K1	Q8IYR0
A1L4K1	Q8N5A5
A1L4K1	Q8N5A5-2
A1L4K1	Q8N5M1
A1L4K1	Q8N6N6
A1L4K1	Q8N8B7
A1L4K1	Q8N8B7-2
A1L4K1	Q8N8Y2
A1L4K1	Q8NEC5
A1L4K1	Q8NI38
A1L4K1	Q8TAU3
A1L4K1	Q8TBB1
A1L4K1	Q8TCE9
A1L4K1	Q8TD10
A1L4K1	Q8TD31
A1L4K1	Q8TES7-5
A1L4K1	Q8TES7-6
A1L4K1	Q8WXI9
A1L4K1	Q8WYH8
A1L4K1	Q8WYH8-2
A1L4K1	Q92625
A1L4K1	Q92769
A1L4K1	Q92841
A1L4K1	Q92922
A1L4K1	Q96BZ8
A1L4K1	Q96DF8
A1L4K1	Q96EZ8
A1L4K1	Q96FJ0
A1L4K1	Q96GM5
A1L4K1	Q96HA8
A1L4K1	Q96PN8
A1L4K1	Q96SQ5
A1L4K1	Q96ST3
A1L4K1	Q96SW2
A1L4K1	Q96T49
A1L4K1	Q99471
A1L4K1	Q99633
A1L4K1	Q99996
A1L4K1	Q9BRJ7
A1L4K1	Q9BWG6
A1L4K1	Q9BXF9
A1L4K1	Q9BXK1
A1L4K1	Q9BZK7
A1L4K1	Q9BZS1
A1L4K1	Q9H0I2
A1L4K1	Q9H257-2
A1L4K1	Q9H2S9
A1L4K1	Q9H5V7
A1L4K1	Q9H5Z6
A1L4K1	Q9H5Z6-2
A1L4K1	Q9H6L4
A1L4K1	Q9H6Z9
A1L4K1	Q9HAQ2
A1L4K1	Q9HBZ2
A1L4K1	Q9HC98-4
A1L4K1	Q9NP86
A1L4K1	Q9NPJ8-3
A1L4K1	Q9NPJ8-4
A1L4K1	Q9NQT4
A1L4K1	Q9NU19
A1L4K1	Q9NX04
A1L4K1	Q9NX24
A1L4K1	Q9NYA3
A1L4K1	Q9P289
A1L4K1	Q9P2K3
A1L4K1	Q9UBB5
A1L4K1	Q9UBL6-2
A1L4K1	Q9UBY9
A1L4K1	Q9UHD8-4
A1L4K1	Q9UKV3-3
A1L4K1	Q9UMS4
A1L4K1	Q9UMX2
A1L4K1	Q9Y230-2
A1L4K1	Q9Y4C2
A1L4K1	Q9Y4C2-2
A1L4K1	Q9Y5B8
A1L4K1	Q9Y6H1
A1L4K1	Q9UKT9-11
A1L4K1	Q9UKT9-14
A1L4K1	Q9UKT9-5
A1L4K1	Q12873-2
A1L4K1	Q99708-3
A8MQ03	O00258
A8MQ03	O00258-2
A8MQ03	O00330
A8MQ03	O00501
A8MQ03	O15060
A8MQ03	O15304-2
A8MQ03	O15393
A8MQ03	O15393-2
A8MQ03	O15496
A8MQ03	O43597
A8MQ03	O43610
A8MQ03	O43837
A8MQ03	O43889
A8MQ03	O60711
A8MQ03	O60883
A8MQ03	O75525
A8MQ03	O76014
A8MQ03	O76081
A8MQ03	O94972
A8MQ03	O95273
A8MQ03	O95377
A8MQ03	O95751
A8MQ03	P00915
A8MQ03	P00918
A8MQ03	P01100
A8MQ03	P08151
A8MQ03	P08151-3
A8MQ03	P0DPK4
A8MQ03	P10515
A8MQ03	P11055
A8MQ03	P11912
A8MQ03	P12004
A8MQ03	P13349
A8MQ03	P15941
A8MQ03	P15941-11
A8MQ03	P17020
A8MQ03	P24592
A8MQ03	P29323-2
A8MQ03	P34910
A8MQ03	P34910-2
A8MQ03	P36406
A8MQ03	P48735
A8MQ03	P49747
A8MQ03	P50213
A8MQ03	P51553
A8MQ03	P60329
A8MQ03	P60369
A8MQ03	P60409
A8MQ03	P60410
A8MQ03	Q01850
A8MQ03	Q02218
A8MQ03	Q04864-2
A8MQ03	Q07627
A8MQ03	Q07912
A8MQ03	Q08379
