a	b
O14617	O95816
O14617	P06703
O14617	P18074
O14617	P19086
O14617	P23508
O14617	P25815
O14617	P33763
O14617	P62424
O14617	Q00994
O14617	Q2WGJ6
O14617	Q8IWB1
O14617	Q92925
O14617	Q96BK5
O14617	Q96BQ3
O14617	Q9NYS7
O14617	Q9P2K8
O14617	Q9UFF9
O14617	Q9UQ16
O14617	O60346
O14617	O60885
O14617	O94874
O14617	O95219
O14617	O95661
O14617	P01106
O14617	P01112-2
O14617	P04198
O14617	P05161
O14617	P0DPB6
O14617	P14625
O14617	P14678
O14617	P19320
O14617	P23258
O14617	P25789
O14617	P26045-3
O14617	P28482
O14617	P35916
O14617	P49588
O14617	P52198
O14617	P68104
O14617	P68366-2
O14617	P78368
O14617	P85037
O14617	Q01804
O14617	Q02809
O14617	Q05639
O14617	Q08AI8
O14617	Q13151
O14617	Q13451
O14617	Q15058
O14617	Q38SD2
O14617	Q6IAA8
O14617	Q86SG6
O14617	Q86TB9
O14617	Q86XF0
O14617	Q8TD08
O14617	Q96BN8
O14617	Q96CV9-2
O14617	Q96HY6
O14617	Q96QS6
O14617	Q9BQL6
O14617	Q9BYZ6-2
O14617	Q9H6T3
O14617	Q9H8V3-3
O14617	Q9HB71-3
O14617	Q9NR20
O14617	Q9NR77
O14617	Q9NWS0
O14617	Q9UGI9
O14617	Q9UNE7
O14617	Q9UNN5
O14617	Q9Y312
O14617	Q9Y512
O14617	Q9Y520-4
O14511	O14617
O14617	O14944
O14617	O15049
O14617	P35249
O14617	P49286
O14617	P62987
O14617	Q15303-3
O14617	Q5T9L3-2
O14617	Q5VVX9
O14617	Q66PJ3-3
O14617	Q86U28
O14617	Q8N3F0
O14617	Q8N8B7
O14617	Q8N8B7-2
O14617	Q8WWG1
O14617	Q99075
O14617	Q9NWX5
O14617	Q9NX04
A0MZ66-5	O14617
O14617	O94964
O14617	P09681
O14617	P10075
O14617	P10275
O14617	P13674
O14617	P21860
O14617	P23378
O14617	P48357
O14617	P50222
O14617	P51116
O14617	P51955-4
O14617	P61086
O14617	Q14CB8
O14617	Q15293
O14617	Q5VVX9-2
O14617	Q6PCD5
O14617	Q6ZMY9
O14617	Q7LBC6
O14617	Q7RTS1
O14617	Q86T24
O14617	Q86YM7
O14617	Q8IVC4
O14617	Q8TEP8
O14617	Q8WVX9
O14617	Q99614
O14617	Q99816
O14617	Q9BRK4
O14617	Q9BZR9
O14617	Q9H4P4-2
O14617	Q9H832
O14617	Q9NPF7
O14617	Q9NQC3-6
O14617	Q9NZM3
O14617	Q9UJ55
O14617	Q9ULK5
O14617	Q9Y2X9
O14617	Q9Y5K6
A1KZ92	O14617
O00267	O14617
O14497	O14617
O14617	O15294-4
O14617	O43143
O14617	O43242
O14617	O43247
O14617	O94761
O14617	O95166
O14617	P01100
O14617	P09012
O14617	P09234
O14617	P10070
O14617	P11021
O14617	P13010
O14617	P17661
O14617	P17676
O14617	P29034
O14617	P35221-3
O14617	P35499
O14617	P38398
O14617	P48552
O14617	P48643
O14617	P49247
O14617	P49327
O14617	P49761-1
O14617	P52292
O14617	P52758
O14617	P52907
O14617	P55854
O14617	P56192
O14617	P57081
O14617	P60709
O14617	P60983
O14617	P61964
O14617	P61978-3
O14617	P68431
O14617	Q06203
O14617	Q07866
O14617	Q13418
O14617	Q13541
O14617	Q13884
O14617	Q14204
O14617	Q14814
O14617	Q15417-2
O14617	Q15554
O14617	Q15596
O14617	Q16531
O14617	Q16566
O14617	Q5VZV1
O14617	Q5XPI4
O14617	Q6EMK4
