a	b
O14530	O15355
O14530	O43290
O14530	P0DPH7
O14530	P14314
O14530	P14314-2
O14530	P22626-2
O14530	P31689
O14530	P35243
O14530	P35527
O14530	P38432
O14530	P39023
O14530	P61247
O14530	P62330
O14530	Q04724
O14530	Q13432
O14530	Q15796-2
O14530	Q15797
O14530	Q3ZCM7
O14530	Q5VWN6
O14530	Q68D86
O14530	Q6PJP8
O14530	Q70CQ2
O14530	Q86YZ3
O14530	Q8IX01
O14530	Q8N129
O14530	Q8WTT2
O14530	Q92597
O14530	Q96A57
O14530	Q99418
O14530	Q9BQ39
O14530	Q9BRR8
O14530	Q9BZV1-2
O14530	Q9H501
O14530	Q9HCE7-2
O14530	Q9HCU4
O14530	Q9NYB0
O14530	Q9Y6M5
O14530	P49703
B2RXF5	O14530
O00305	O14530
O00746	O14530
O14530	O75955
O14530	P19237
O14530	P20807
O14530	P25786
O14530	P50221
O14530	P50222
O14530	P54136
O14530	Q08426
O14530	Q16877
O14530	Q16877-2
O14530	Q2TBE0
O14530	Q3B820
O14530	Q3SY00
O14530	Q6NX45
O14530	Q6ZNG0
O14530	Q6ZV73
O14530	Q86YV0
O14530	Q8IZD4
O14530	Q8N0S2
O14530	Q8N5R6-4
O14530	Q8N8B7
O14530	Q8N8B7-2
O14530	Q8TBB1
O14530	Q8TD31
O14530	Q8TEC5
O14530	Q96BZ8
O14530	Q96CN5
O14530	Q96GM5
O14530	Q96HB5
O14530	Q96LK0
O14530	Q96MA6
O14530	Q9BWD3
O14530	Q9BYV2
O14530	Q9H0I2
O14530	Q9H6F5
O14530	Q9HD26
O14530	Q9NPJ8
O14530	Q9NRI5
O14530	Q9NYB9
O14530	Q9NYJ8
O14530	Q9P2K3
O14530	Q9P2M7
O14530	Q9Y250
O14530	Q9Y2Y4
O14530	Q9Y586
O15355	O43290
O15355	P0DPH7
O15355	P14314
O15355	P14314-2
O15355	P22626-2
O15355	P31689
O15355	P35243
O15355	P35527
O15355	P38432
O15355	P39023
O15355	P61247
O15355	P62330
O15355	Q04724
O15355	Q13432
O15355	Q15796-2
O15355	Q15797
O15355	Q3ZCM7
O15355	Q5VWN6
O15355	Q68D86
O15355	Q6PJP8
O15355	Q70CQ2
O15355	Q86YZ3
O15355	Q8IX01
O15355	Q8N129
O15355	Q8WTT2
O15355	Q92597
O15355	Q96A57
O15355	Q99418
O15355	Q9BQ39
O15355	Q9BRR8
O15355	Q9BZV1-2
O15355	Q9H501
