a	b
O00425	P02549
O00425	P35249
O00425	Q6P656
O00425	Q92878
O00425	Q96MC2
O00425	Q96PU4
O00425	Q99626
O00425	O60341
O00425	Q14653
O00425	Q16695
O00425	Q86WV6
O00425	Q9BSI4
O00425	Q9NYB0
O00425	Q9Y5K1
O00425	P18858
O00425	P24864-3
O00425	Q09472
O00425	Q92878-3
O00425	Q96SD1-2
O00425	Q9BXW9
O00425	P49959-2
O00425	O14907
O00425	O60934
O00425	O75362
O00425	O75475
O00425	O94761
O00425	P0CG48
O00425	P10909
O00425	P11021
O00425	P12004
O00425	P16104
O00425	P18887
O00425	P25791-3
O00425	P26232
O00425	P38398
O00425	P48059
O00425	P51116
O00425	P51530
O00425	P53350
O00425	P56545
O00425	P59665
O00425	P61968
O00425	P68104
O00425	P78317
O00425	P78527
O00425	Q00987
O00425	Q13363
O00425	Q13422
O00425	Q13526
O00425	Q13547
O00425	Q16270
O00425	Q2M1P5
O00425	Q5S007
O00425	Q6UWZ7
O00425	Q7Z4V5
O00425	Q7Z5Q5
O00425	Q86UD0
O00425	Q8IUQ4
O00425	Q8IV36
O00425	Q8NI27
O00425	Q8TB96
O00425	Q8TDN6
O00425	Q8WVD3-2
O00425	Q92547
O00425	Q92769
O00425	Q92917
O00425	Q96BD5-3
O00425	Q96EA4
O00425	Q96HA8
O00425	Q96M94
O00425	Q96T58
O00425	Q9BZD6
O00425	Q9GZX5
O00425	Q9H7T9
O00425	Q9HAT8
O00425	Q9NVH0
O00425	Q9NY61
O00425	Q9UGC6
O00425	Q9UKL0
O00425	Q9UM11
O00425	Q9UQ84
O00425	Q9Y3Z3
O00425	Q9Y6K9
O00425	Q99708-2
O00425	P25800
O00425	Q99708-3
O00425	P25791
O00425	P28749-2
O00425	Q13363-2
O00425	Q9GZN2
B2RXF5	O00425
O00358	O00425
O00425	O00453-11
O00425	O14827
O00425	O43175
O00425	O43474
O00425	O43541
O00425	O43638
O00425	O43765
O00425	O60294
O00425	O60315
O00425	O60885
O00425	O75386
O00425	O75558
O00425	O94782
O00425	O95373
O00425	O95983
O00425	P00533
O00425	P01106
O00425	P09067
O00425	P0C7T5
O00425	P10275
O00425	P12532-2
O00425	P16083
O00425	P19784
O00425	P20749
O00425	P23515
O00425	P30041
O00425	P35712
O00425	P40305
O00425	P42771-2
O00425	P43694
O00425	P45983-3
O00425	P48552
O00425	P50583
O00425	P51570
O00425	P51610
O00425	P51681
O00425	P53779-2
O00425	P57682
O00425	P61962
O00425	P62273
O00425	P62424
O00425	Q00LT1
O00425	Q01196-10
O00425	Q02742
O00425	Q05086-3
O00425	Q12947
O00425	Q13489
O00425	Q13490
